kp,ki,Max power rate of G15.02 (max=341.165MW/min),Max power rate of G16.01 (max=686.878MW/min),Max power rate of G17.02 (max=95.200MW/min),Max power rate of G23.01 (max=485.898MW/min),Max power rate of G26.01 (max=356.785MW/min),Exceed max power rate or not?
0.8,0.05,176.1546,364.6226,49.2886,253.4961,188.3612,Not Exceed
0.8,0.05,178.7071,373.3688,50.7441,261.1073,194.5408,Not Exceed
0.8,0.06,185.1987,382.2377,51.4194,267.8411,198.9431,Not Exceed
0.8,0.06,189.5739,392.0343,53.0668,272.7905,202.8428,Not Exceed
0.8,0.06,192.8965,402.1292,54.6878,281.0741,209.2939,Not Exceed
0.8,0.07,198.0623,408.7515,54.9942,286.327,212.7763,Not Exceed
0.8,0.07,202.8356,419.8281,56.8002,291.8572,217.1512,Not Exceed
0.8,0.07,206.9342,454.3844,58.6785,316.2463,236.284,Not Exceed
0.8,0.08,210.7531,434.9218,58.5439,304.717,226.4324,Not Exceed
0.8,0.08,232.2945,507.9021,65.026,351.496,262.3502,Not Exceed
0.8,0.08,220.8602,475.8068,62.6804,331.5613,247.3777,Not Exceed
0.9,0.01,135.7206,281.4657,37.7699,196.7008,146.7918,Not Exceed
0.9,0.01,138.6002,286.8138,38.5999,198.0492,148.3343,Not Exceed
0.9,0.01,148.8579,289.8095,39.1795,202.4155,151.7925,Not Exceed
0.9,0.02,145.7383,302.5521,40.6832,212.2484,158.4963,Not Exceed
0.9,0.02,148.6552,308.1795,41.4396,212.7562,159.2658,Not Exceed
0.9,0.02,152.9887,312.6089,42.4069,217.9111,163.0596,Not Exceed
0.9,0.03,156.5992,324.8762,43.6997,227.7204,170.1432,Not Exceed
0.9,0.03,159.6895,330.7515,44.384,228.6782,170.9542,Not Exceed
0.9,0.03,160.8869,337.5068,45.755,235.2009,175.7389,Not Exceed
0.9,0.04,167.8973,347.9046,46.8208,244.0783,181.9441,Not Exceed
0.9,0.04,171.4738,354.911,47.7526,244.9802,182.9196,Not Exceed
0.9,0.04,173.3121,363.0053,49.2508,253.6227,189.2326,Not Exceed
